Smiles,logSw
O=C(OC1CC(C)CC(C)(C)C1)CC(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,2.76
CCC(=O)CCOC(=O)C(NC(=O)[C@H](N)CC(=O)O)C(=O)OC,2.79
O=C(O)CC(N[C@H](C)C(C)CC)C(=O)NC(Cc1ccccc1)C(=O)OC,2.81
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CCl)O[C@H](CCl)C(O)C1O,2.812913357
O(C(C)C)C(=O)CC(NC(=O)C(N)CC(O)=O)C,2.84
OC(=O)CC(N)C(=O)NCCC1CCCCC1,2.85
O(C(=O)C(CNC(=O)C(N)CC(O)=O)C)C1CCCC1,2.88
OC(=O)CC(N)C(=O)NC(Cc1ccccc1)CC,2.89
OC(=O)CC(N)C(=O)NC(Cc1ccc(cc1)C)C,2.89
O(C(=O)C(NC(=O)C(N)CC(O)=O)C)CCCC,2.9
OC1[C@@H](OC(CO)[C@H](Cl)C1O)O[C@]1(CBr)O[C@H](CBr)C(O)C1O,2.903089987
OC1[C@@H](OC(CO)[C@H](Br)C1O)O[C@]1(CBr)O[C@H](CBr)C(O)C1O,2.903089987
O(C(=O)C)CC(NC(=O)C(N)CC(O)=O)C(OC)=O,2.91
O(C(=O)C1CCCC1)CC(NC(=O)C(N)CC(O)=O)CO,2.92
O=C(OC1CCCCC1)C(NC(=O)C(N)CC(=O)O)C(=O)OC,2.92
